name;price;percentage;benefits
Share-HRKX;14.09;33.42;4.708878
Share-DEMQ;19.25;35.29;6.793325
Share-MONJ;10.67;7.47;0.797049
Share-XQOA;18.65;2.68;0.49982
Share-RZCS;36.45;12.78;4.65831
Share-DAPQ;21.36;19.57;4.180152
Share-OUGA;8.99;7.35;0.660765
Share-BCVC;20.69;33.51;6.933219
Share-BHXC;41.14;19.5;8.0223
Share-NTBS;24.42;10.33;2.522586
Share-WVBR;25.11;2.9;0.72819
Share-GCEX;0;34.72;0
Share-RBJP;12.54;11.82;1.482228
Share-QNMW;10.16;11.13;1.130808
Share-FLLX;2.35;4.74;0.11139
Share-MHMX;19.48;26.47;5.156356
Share-DAWU;7.4;5.24;0.38776
Share-ETOR;12.33;7.35;0.906255
Share-GVVO;2.22;28.52;0.633144
Share-SPAR;42.66;10.72;4.573152
Share-DWQL;0;19.69;0
Share-IFCP;29.23;39.88;11.656924
Share-WYAL;42.12;15.21;6.406452
Share-OFZD;31.48;13.78;4.337944
Share-KLCJ;13.75;18.04;2.4805
Share-JNUW;30.61;17.58;5.381238
Share-SHFZ;32.79;27.62;9.056598
Share-CYLT;33.73;24.2;8.16266
Share-JHLP;42.97;37.12;15.950464
Share-DLGZ;34.71;33.88;11.759748
Share-COUC;20.99;5.93;1.244707
Share-ATAE;16.58;24.47;4.057126
Share-FTJN;27.52;16.79;4.620608
Share-WTPW;19.89;25.23;5.018247
Share-HITN;0.67;33.49;0.224383
Share-ADLV;18.9;4.72;0.89208
Share-CWIL;46.2;1.19;0.54978
Share-VBQT;25.73;35.61;9.162453
Share-XQQA;26.78;9.35;2.50393
Share-QSOQ;30.15;0.71;0.214065
Share-WIWE;10.65;8.88;0.94572
Share-FRBU;30.13;9.56;2.880428
Share-IYKD;1.08;13.02;0.140616
Share-EPCT;3.91;15.96;0.624036
Share-JIZL;48.75;4.23;2.062125
Share-ACQS;32.62;1.61;0.525182
Share-YUTW;16.28;35.71;5.813588
Share-YHEL;2.51;10.08;0.253008
Share-HPSH;19.77;33.17;6.557709
Share-NVXL;25.66;19.29;4.949814
Share-ZFQR;21.74;38.74;8.422076
Share-GYNX;30.96;38.27;11.848392
Share-XXLC;45.12;14.14;6.379968
Share-TLJJ;28.65;13.75;3.939375
Share-RUPP;40.98;5.4;2.21292
Share-SXZH;39.35;8.81;3.466735
Share-DSHU;23.12;29.08;6.723296
Share-OLUI;30.68;27.29;8.372572
Share-FXZS;0;30.03;0
Share-SFMP;9.48;17.94;1.700712
Share-VVDF;5.12;25.56;1.308672
Share-YVUQ;39.98;18.8;7.51624
Share-FIWE;42.56;9.34;3.975104
Share-NKEK;19.01;25.8;4.90458
Share-QEDS;3.78;13.74;0.519372
Share-SWES;35.4;28.86;10.21644
Share-XMLZ;29.5;24.46;7.2157
Share-DRXI;37.42;38.05;14.23831
Share-BKOT;22.9;29.4;6.7326
Share-QDFN;4.26;20.6;0.87756
Share-NLNW;8.95;8.85;0.792075
Share-MKTB;33.42;17.53;5.858526
Share-FEMI;15.24;36.37;5.542788
Share-ZQDO;34.64;10.06;3.484784
Share-CVOW;0;6.42;0
Share-GBMB;41.91;11.82;4.953762
Share-ZUWA;17.84;32.2;5.74448
Share-VUOS;20.14;33.88;6.823432
Share-RTTA;27.78;3.26;0.905628
Share-SQQK;22.58;32.51;7.340758
Share-GROK;28.16;8.05;2.26688
Share-RWWJ;46.3;0;0
Share-YPRZ;41.82;18.21;7.615422
Share-EDPH;22.43;9.4;2.10842
Share-LJDU;39.86;37.22;14.835892
Share-JKRC;18.58;16.25;3.01925
Share-QCRM;26.91;16.97;4.566627
Share-PKXQ;41.39;9.75;4.035525
Share-DBMG;37.07;38.12;14.131084
Share-DFKO;29.28;24.73;7.240944
Share-LOJD;22.47;19.19;4.311993
Share-SFMQ;39.61;5.27;2.087447
Share-TMYW;22.41;15.97;3.578877
Share-WPYY;42.88;13.95;5.98176
Share-EDBI;22.92;32.72;7.499424
Share-WJZQ;16.28;1.25;0.2035
Share-MGCH;25.72;22.28;5.730416
Share-GFKM;24.37;36.16;8.812192
Share-JLNT;19.74;9.74;1.922676
Share-ZIZN;40.69;17.32;7.047508
Share-FVVN;33.3;4.3;1.4319
Share-TTVT;35.43;25.51;9.038193
Share-EMOV;8.89;39.52;3.513328
Share-ZWPI;21.5;39.02;8.3893
Share-KKAD;14.66;32.19;4.719054
Share-GMPX;30.86;7.59;2.342274
Share-JHKR;18.3;25.25;4.62075
Share-QIGP;35.59;22.63;8.054017
Share-RUMG;34.34;7.42;2.548028
Share-EPWT;9.54;8.07;0.769878
Share-FJIK;28.32;34.49;9.767568
Share-ETNQ;48.78;11.38;5.551164
Share-OZCM;36.69;30.53;11.201457
Share-KZLV;18.43;4.01;0.739043
Share-ZLGB;39.41;36.67;14.451647
Share-ZSPZ;22.3;18.9;4.2147
Share-RQNB;20.12;26.73;5.378076
Share-UNOG;43.84;18.65;8.17616
Share-GZHU;33.02;24.56;8.109712
Share-QPFG;9.52;32.39;3.083528
Share-IVRI;27.35;38.76;10.60086
Share-GHNY;28.45;17.58;5.00151
Share-XABA;0;27.91;0
Share-MEPT;37.14;30.4;11.29056
Share-OTBX;16.84;5.86;0.986824
Share-ODFR;30.14;11.81;3.559534
Share-QPRB;32.06;5.19;1.663914
Share-QAIJ;31.42;33.11;10.403162
Share-OKTW;24.15;24.26;5.85879
Share-KYHO;37.05;29.07;10.770435
Share-ONTS;14.17;15.48;2.193516
Share-JWXV;47.28;7.33;3.465624
Share-TJBP;28.5;28.54;8.1339
Share-YHLS;6.11;5.79;0.353769
Share-ZNIY;20.38;24.97;5.088886
Share-XPZF;35.01;33.65;11.780865
Share-ODXT;12.75;18.69;2.382975
Share-VQHA;6.93;14.16;0.981288
Share-IDWW;26.58;22;5.8476
Share-TVOJ;9.39;23.34;2.191626
Share-NMYP;0;11.43;0
Share-VNQN;1.17;18.51;0.216567
Share-FVTC;25.28;23.61;5.968608
Share-RSQE;45.64;26.22;11.966808
Share-TCMQ;15.36;11.69;1.795584
Share-UPTV;7.59;20.07;1.523313
Share-LSFE;17.51;31.47;5.510397
Share-TTLC;30.69;38.68;11.870892
Share-WMOU;29;34.42;9.9818
Share-QJZG;34.68;19.21;6.662028
Share-PSZU;25.8;13.44;3.46752
Share-GCAZ;48.58;3.23;1.569134
Share-KZBL;28.99;39.14;11.346686
Share-ZTDP;33.38;6.81;2.273178
Share-XBIG;34.11;0.37;0.126207
Share-MXMO;23.99;15.87;3.807213
Share-OMOF;30.8;18.36;5.65488
Share-NWSG;38.03;15.32;5.826196
Share-LGSU;46.79;18.58;8.693582
Share-GLFC;16.63;4.45;0.740035
Share-PAXZ;7.22;0.82;0.059204
Share-QSPX;0.6;35.15;0.2109
Share-ZGFE;20.76;22.46;4.662696
Share-WCNO;17.13;32.27;5.527851
Share-BHYK;25.29;17.91;4.529439
Share-VGFO;17.83;31.39;5.596837
Share-FUUQ;32.33;3.69;1.192977
Share-VEEM;9.47;15.79;1.495313
Share-YVIJ;3.94;29.38;1.157572
Share-ZEPQ;29.27;30.6;8.95662
Share-EINI;20.13;13.01;2.618913
Share-LRBZ;32.9;39.95;13.14355
Share-NYHH;12.51;6.57;0.821907
Share-CBNP;37.33;11.56;4.315348
Share-JXTU;0;14.86;0
Share-ZOIW;15.06;25.6;3.85536
Share-GSPE;48.99;11.65;5.707335
Share-IZCN;31.52;12.4;3.90848
Share-XLQI;31.33;32.56;10.201048
Share-BDMW;48.51;19.39;9.406089
Share-HCCK;20.58;3.21;0.660618
Share-DWFW;15.17;16.53;2.507601
Share-TDXX;30.93;14.84;4.590012
Share-ZXSD;44.62;21.01;9.374662
Share-MKZB;6.97;33.89;2.362133
Share-XRZR;14.78;6.37;0.941486
Share-XPEO;31.13;27.06;8.423778
Share-QDBT;23.68;17.58;4.162944
Share-CPNV;28.84;6.96;2.007264
Share-QFPK;11.96;9.51;1.137396
Share-CXDL;27.89;14.17;3.952013
Share-MMFR;37.78;38.54;14.560412
Share-MYPQ;14.1;6.55;0.92355
Share-EZLR;17.59;19.71;3.466989
Share-QJZD;47.58;22.72;10.810176
Share-YDJK;25.79;12.25;3.159275
Share-ZSRN;31.7;4.62;1.46454
Share-IMGN;30.72;33.04;10.149888
Share-HPQO;5.03;34.97;1.758991
Share-KYUG;15.06;1.42;0.213852
Share-YZOF;9.65;12.6;1.2159
Share-KPMF;39.44;22.13;8.728072
Share-RBTN;0;33.06;0
Share-CBTR;36.81;5.71;2.101851
Share-JGEU;27.08;25.8;6.98664
Share-SIRR;34.39;26.68;9.175252
Share-TECI;30.9;12.34;3.81306
Share-NFGO;38.33;36.59;14.024947
Share-XJMO;9.39;39.98;3.754122
Share-IFPU;35.66;20.67;7.370922
Share-SNKS;16.75;39.04;6.5392
Share-GKRC;19.28;27.34;5.271152
Share-XZNX;34.59;3.14;1.086126
Share-XRNJ;26.54;21.03;5.581362
Share-OGGC;25.25;17.07;4.310175
Share-TNHW;45.8;6.23;2.85334
Share-YMIE;18.31;12.75;2.334525
Share-LKBB;8.28;13.4;1.10952
Share-IQED;33.12;34.59;11.456208
Share-LFLL;15.17;9.49;1.439633
Share-OJRZ;31.68;1.1;0.34848
Share-IKCF;3.37;5.17;0.174229
Share-RNBA;19.47;6.23;1.212981
Share-YZFJ;34.75;11.89;4.131775
Share-RGDB;23.95;24.47;5.860565
Share-UEIV;33.41;30.66;10.243506
Share-VQPV;20.9;21.01;4.39109
Share-OHHU;40.43;38.01;15.367443
Share-AXIX;36.82;20.38;7.503916
Share-KOUD;35.09;35.93;12.607837
Share-NALT;48.96;11.63;5.694048
Share-NHKZ;30.69;0.98;0.300762
Share-NKUT;34.4;24.93;8.57592
Share-GPGM;47.4;19.93;9.44682
Share-NFNZ;25.77;18.88;4.865376
Share-NVDR;1.99;16.54;0.329146
Share-NQIL;13.37;24.4;3.26228
Share-VTWL;5.98;21.69;1.297062
Share-JEQJ;25.73;23.34;6.005382
Share-IXSO;19.7;28.29;5.57313
Share-HGVJ;26.2;24.94;6.53428
Share-AIQL;25.69;33.68;8.652392
Share-KYXI;29.07;31.36;9.116352
Share-SIVL;26.31;23.06;6.067086
Share-GJMI;25.09;30.39;7.624851
Share-OLCV;38.97;13.15;5.124555
Share-SLZZ;14.87;29.76;4.425312
Share-RDQM;30.61;1.66;0.508126
Share-UOZD;21.17;30.86;6.533062
Share-MOXN;31.29;1.79;0.560091
Share-XKAM;47.01;38.1;17.91081
Share-GGLB;31.58;35.12;11.090896
Share-GEYL;24.68;18.23;4.499164
Share-CIYW;20.93;16.45;3.442985
Share-EIZH;27.73;14.51;4.023623
Share-MPUS;30.96;27.33;8.461368
Share-YUVN;15.09;13.82;2.085438
Share-PEAZ;15.72;32.53;5.113716
Share-MWDM;11.97;2.81;0.336357
Share-LSZT;34.9;39.19;13.67731
Share-CBNY;1.22;39.31;0.479582
Share-HMVR;15.62;16.57;2.588234
Share-LGHI;21.64;24.62;5.327768
Share-VCWF;24.71;28.83;7.123893
Share-CGUS;8.27;37.38;3.091326
Share-REMR;26.84;32.94;8.841096
Share-MXBC;15.26;13.02;1.986852
Share-ZDHV;16.64;10.3;1.71392
Share-AVUV;11.65;11.66;1.35839
Share-WVTR;35.99;29.65;10.671035
Share-MLVQ;36.23;8.13;2.945499
Share-NCFR;25.4;3.06;0.77724
Share-LFGX;25.04;9.84;2.463936
Share-HQDA;25.28;7.95;2.00976
Share-UMGT;5.97;1.28;0.076416
Share-WITL;38.65;6.37;2.462005
Share-XOBN;34.06;2.33;0.793598
Share-AHYU;20.99;5.34;1.120866
Share-YLHV;43.01;35.12;15.105112
Share-BTKZ;17.55;36.72;6.44436
Share-YEYV;32.67;2.59;0.846153
Share-BGVK;18.27;9.33;1.704591
Share-OFWH;30;11.97;3.591
Share-XKFR;42.85;13.22;5.66477
Share-SNUW;44.48;8.52;3.789696
Share-QWHX;45.37;31.39;14.241643
Share-TZIJ;25.62;1.75;0.44835
Share-ILTN;23.8;2.45;0.5831
Share-TIRJ;29.33;12.78;3.748374
Share-URMZ;34.99;38.89;13.607611
Share-FZFY;33.03;3.98;1.314594
Share-UTIJ;20.36;24.11;4.908796
Share-PFEQ;26.95;12.54;3.37953
Share-LNBX;32.12;24.04;7.721648
Share-BORU;34.6;23.87;8.25902
Share-QOYO;12.93;36.43;4.710399
Share-BAPF;37.14;10.33;3.836562
Share-RJIB;21.22;34.07;7.229654
Share-ICKP;26.65;19.6;5.2234
Share-DPMV;40.44;9.19;3.716436
Share-EWGU;0;34.27;0
Share-MIOT;20.91;29.35;6.137085
Share-GSDZ;44.29;11.37;5.035773
Share-GOEX;38.41;20.84;8.004644
Share-IHOT;10.47;24.64;2.579808
Share-GIAJ;10.75;39.9;4.28925
Share-OTFE;29.23;15.95;4.662185
Share-HMCY;39.53;34.81;13.760393
Share-UMCH;21.51;23.28;5.007528
Share-QQBR;29.9;16.44;4.91556
Share-WJZJ;38.96;26.3;10.24648
Share-CESY;0;26.25;0
Share-OGLE;41.9;10.45;4.37855
Share-MNMP;36.64;10.47;3.836208
Share-KGQI;0.23;18.91;0.043493
Share-JGPU;26.21;24.23;6.350683
Share-LBSY;31.98;23.16;7.406568
Share-EMCQ;6.37;20.46;1.303302
Share-GHFD;13.56;22.81;3.093036
Share-ESFE;13.5;4.44;0.5994
Share-EJLA;25.25;22.63;5.714075
Share-JJNV;38.71;14.41;5.578111
Share-DIGK;32.32;11.87;3.836384
Share-NYKV;15.38;30.95;4.76011
Share-DDWA;40.89;11.73;4.796397
Share-SLGB;9.77;21.69;2.119113
Share-HYNU;47.39;8.61;4.080279
Share-KZFS;9.73;10.84;1.054732
Share-THCY;39.05;6.32;2.46796
Share-SIZB;6.13;23.12;1.417256
Share-TUQB;19.32;15.61;3.015852
Share-NTQC;30.85;17.09;5.272265
Share-HYMY;26.4;34.84;9.19776
Share-VXCW;0;5.87;0
Share-JYBM;24.65;38.04;9.37686
Share-VGRH;34.98;9.17;3.207666
Share-PSVO;0;15.5;0
Share-NBSA;33.83;34.41;11.640903
Share-OFJC;24.83;3.66;0.908778
Share-JWVH;1.71;10.41;0.178011
Share-PEQK;34.63;24.37;8.439331
Share-WAQC;21.71;22.7;4.92817
Share-ZEIM;31.25;16.18;5.05625
Share-RPXU;13.75;26.64;3.663
Share-DTZY;35.96;19.34;6.954664
Share-LHKD;34.45;16.51;5.687695
Share-YRSC;47;38.3;18.001
Share-MZLJ;23.2;17.43;4.04376
Share-YECK;32.66;29.22;9.543252
Share-SZEE;36.55;23.72;8.66966
Share-MTJQ;41.49;25.62;10.629738
Share-PBXL;5.46;36.76;2.007096
Share-BMTW;27.23;16.76;4.563748
Share-YPHD;5.72;9.91;0.566852
Share-TXHQ;8.97;36.74;3.295578
Share-KAUS;42.96;29.36;12.613056
Share-BFRJ;43.43;17.65;7.665395
Share-NDNV;8.19;34.97;2.864043
Share-GNLH;11.86;23.48;2.784728
Share-WMQI;39.87;23.15;9.229905
Share-ARZU;0;9.01;0
Share-MDAT;41.4;35.95;14.8833
Share-QBZY;40;33.6;13.44
Share-YHNK;35.09;11.16;3.916044
Share-DGFR;37.13;32.1;11.91873
Share-FVCW;14.48;4.94;0.715312
Share-JREW;9.93;15.05;1.494465
Share-NOLN;22.65;1.2;0.2718
Share-DSKL;38.68;20.93;8.095724
Share-LHLG;42.98;28.34;12.180532
Share-HJJZ;17.54;6.56;1.150624
Share-URDO;32.8;12.91;4.23448
Share-URKJ;28.32;36.08;10.217856
Share-JSDR;21.66;27.61;5.980326
Share-KMDP;32.23;22.12;7.129276
Share-TGMY;44.93;2.02;0.907586
Share-RCCP;2.09;35.32;0.738188
Share-GQZA;5.86;12.81;0.750666
Share-EQFF;18.75;6.05;1.134375
Share-QQTU;33.19;39.6;13.14324
Share-LWHP;32;29.24;9.3568
Share-SRHN;26.36;34.08;8.983488
Share-SORI;7.97;20.13;1.604361
Share-TQVQ;4.41;11.48;0.506268
Share-UIWH;30.41;24.69;7.508229
Share-PJBF;17.09;19.7;3.36673
Share-VOPM;46.57;10.32;4.806024
Share-MSWM;14.48;2.91;0.421368
Share-TPPD;22.77;15.55;3.540735
Share-GDNC;45.82;28.36;12.994552
Share-OELG;33.83;3.85;1.302455
Share-HBXW;2.73;20.92;0.571116
Share-UYOE;38.08;0.62;0.236096
Share-VMPZ;24.08;10.5;2.5284
Share-GMUB;36.8;17.7;6.5136
Share-LCVT;6.06;1.05;0.06363
Share-KRMG;15.22;31.68;4.821696
Share-FYUX;3.68;19.51;0.717968
Share-DSJF;24.72;2.94;0.726768
Share-MCJZ;47.05;6.57;3.091185
Share-STKT;0.28;7.79;0.021812
Share-FSTB;27.28;12.6;3.43728
Share-KQHE;21.63;1.37;0.296331
Share-MXKO;0;23.17;0
Share-JEHF;21.92;1.56;0.341952
Share-SKKC;24.87;39.49;9.821163
Share-RPNK;46.37;3.24;1.502388
Share-LZLU;12.12;35.54;4.307448
Share-ICYR;27.21;5;1.3605
Share-VOEF;32.38;5.72;1.852136
Share-LSBJ;39.9;19.83;7.91217
Share-HQIF;34.88;15.13;5.277344
Share-TWXB;26.92;1.34;0.360728
Share-HQHB;27.01;23.97;6.474297
Share-PYSY;26.63;30.28;8.063564
Share-JAGI;36.36;35.92;13.060512
Share-EYGW;46.25;17.35;8.024375
Share-OFCJ;10.69;34.05;3.639945
Share-WGNW;38.88;24;9.3312
Share-JNGS;-2.73;22.22;-0.606606
Share-IETC;0;33.17;0
Share-BPBC;26.55;15.5;4.11525
Share-HIGA;5.34;31.01;1.655934
Share-JEAI;31.06;29.46;9.150276
Share-FNVN;9.03;14.25;1.286775
Share-AQZD;39.1;32.4;12.6684
Share-WBLU;39.29;3.32;1.304428
Share-HJFD;8.61;16.15;1.390515
Share-QSSK;29.01;20.95;6.077595
Share-WQLH;6.75;1.55;0.104625
Share-ALZI;9.61;28.14;2.704254
Share-CNVT;23.78;33.52;7.971056
Share-NJKY;30.73;37.82;11.622086
Share-QIID;29.25;11.64;3.4047
Share-CDSP;0;16.03;0
Share-BOZY;25.86;13.2;3.41352
Share-OTLF;34.81;35.31;12.291411
Share-TEET;43.2;37.93;16.38576
Share-GWMA;0;18.22;0
Share-HHFE;25.9;23.95;6.20305
Share-HERB;48.28;12.13;5.856364
Share-KKQW;21.59;20.33;4.389247
Share-FKJR;0.8;14.73;0.11784
Share-LOKP;41.04;39.17;16.075368
Share-TZKX;44.94;26.7;11.99898
Share-DYJJ;21.05;21.2;4.4626
Share-DRRI;27.64;20.85;5.76294
Share-CFUF;34.05;7.67;2.611635
Share-MUFT;23.38;19.1;4.46558
Share-ZNKU;6.96;38.77;2.698392
Share-TOHR;25.74;9.53;2.453022
Share-ZSDE;15.11;39.88;6.025868
Share-AAZC;36.78;18.71;6.881538
Share-DSME;22.62;16.53;3.739086
Share-PWHJ;39.65;8.51;3.374215
Share-LUSV;19.87;12.06;2.396322
Share-YXVL;26.62;22.79;6.066698
Share-XLQD;39.13;14.95;5.849935
Share-WIBX;20.58;25.98;5.346684
Share-DXLL;0;28.11;0
Share-YYBB;39.15;0.35;0.137025
Share-COVF;30.7;15.92;4.88744
Share-GRSA;13;34.88;4.5344
Share-CKIZ;0;33.06;0
Share-BXEV;6.7;33.58;2.24986
Share-LSTK;14.89;32.98;4.910722
Share-GLOV;39.92;9.35;3.73252
Share-LYIZ;21.79;23.22;5.059638
Share-HQWX;6.35;6.39;0.405765
Share-KXYC;17.18;15.71;2.698978
Share-ANXT;13.32;35.6;4.74192
Share-OAOX;36.3;31.47;11.42361
Share-LGWG;31.41;39.5;12.40695
Share-VPPA;4.09;2.15;0.087935
Share-USDU;0;33.49;0
Share-FJZC;20.64;30.34;6.262176
Share-HCNK;13.03;23.56;3.069868
Share-WFZZ;29.81;35.78;10.666018
Share-DAQE;20.97;10.87;2.279439
Share-FYKQ;41.06;38.75;15.91075
Share-IPUP;26.11;30.68;8.010548
Share-XGXY;28.39;36.2;10.27718
Share-LVQC;41.57;16.98;7.058586
Share-PXVO;15.37;20.19;3.103203
Share-OVCD;31.92;10.1;3.22392
Share-WPLI;34.64;39.91;13.824824
Share-LJEO;40.87;25.07;10.246109
Share-PISF;20.49;7.85;1.608465
Share-ZQNA;28.59;12.42;3.550878
Share-EMNG;25.21;4.2;1.05882
Share-BJIF;10.56;31.36;3.311616
Share-QGUP;4.45;20.44;0.90958
Share-XUCG;12.25;22.1;2.70725
Share-RPNX;25.11;4.58;1.150038
Share-KCEB;38.89;6.34;2.465626
Share-KFOQ;26.19;17.4;4.55706
Share-FVNN;33.93;31.26;10.606518
Share-XZOD;12.07;2.81;0.339167
Share-GGKK;22.15;11.56;2.56054
Share-JPQM;10.82;14.81;1.602442
Share-WYJO;33.73;31.99;10.790227
Share-IAFR;30.57;4.82;1.473474
Share-MCBN;29.5;16.75;4.94125
Share-UFQB;23.77;25.16;5.980532
Share-ZHNO;24.32;21.42;5.209344
Share-MGXU;13.5;38.27;5.16645
Share-TUFN;10.37;22.89;2.373693
Share-NVVV;37.44;7.52;2.815488
Share-EPTB;21.32;23.65;5.04218
Share-WSEH;0;12.43;0
Share-ARYE;17.62;14.41;2.539042
Share-CGJM;17.21;39.3;6.76353
Share-ZJWM;26.58;32.21;8.561418
Share-XAZS;35.02;29.32;10.267864
Share-CPWU;37.92;38.28;14.515776
Share-UIMY;16.52;1.83;0.302316
Share-UKXZ;35.19;7.27;2.558313
Share-YMFX;24.46;32.96;8.062016
Share-MLNK;45.74;27.66;12.651684
Share-HJKI;9.7;0.3;0.0291
Share-PEVC;17.51;1.87;0.327437
Share-HDZP;3.48;2.41;0.083868
Share-GUTR;16.5;15.85;2.61525
Share-HPYJ;24.88;19.82;4.931216
Share-EXKV;0;27.83;0
Share-TVCG;15.27;4.93;0.752811
Share-DRZA;8.24;17.26;1.422224
Share-CYLI;18.82;20.97;3.946554
Share-LZSG;36.54;18.45;6.74163
Share-FTYA;19.58;29.72;5.819176
Share-QLMK;17.38;39.49;6.863362
Share-OLCM;31.19;26.9;8.39011
Share-WPCD;42.55;34.32;14.60316
Share-OSGU;42.76;9.62;4.113512
Share-BQLT;24.12;13.38;3.227256
Share-RKNE;3.69;10.06;0.371214
Share-VRIE;36.95;32.22;11.90529
Share-HBGI;40.08;35.1;14.06808
Share-VNFB;22.88;20.99;4.802512
Share-QSQG;8.68;37.32;3.239376
Share-CRZH;30.01;34.82;10.449482
Share-CXGC;21.73;3.43;0.745339
Share-ECAB;23.09;32.33;7.464997
Share-PUDT;10.9;3.97;0.43273
Share-KMEM;24.35;33.9;8.25465
Share-TCIP;22.2;29.46;6.54012
Share-CVPG;31.65;17.69;5.598885
Share-XDUU;30.33;3.26;0.988758
Share-VYWQ;33.85;30.44;10.30394
Share-GLAO;26.86;26.56;7.134016
Share-MAJJ;21.12;6.47;1.366464
Share-NVBN;21.63;30.95;6.694485
Share-XXBE;34.62;1.17;0.405054
Share-QTKW;29.15;35.04;10.21416
Share-YAFK;29.93;21.64;6.476852
Share-MVRZ;31.33;7.6;2.38108
Share-MLGM;0.01;18.86;0.001886
Share-GUQG;36.18;24.94;9.023292
